mall_name,bucket_start,minute_of_day,median_delay_sec,median_delay_min,sample_count
ゆめタウン浜線,2026-02-14T08:00:00+09:00,480,48,0.81,4
ゆめタウン浜線,2026-02-14T09:00:00+09:00,540,74,1.23,7
ゆめタウン浜線,2026-02-14T10:00:00+09:00,600,124,2.07,12
ゆめタウン浜線,2026-02-14T11:00:00+09:00,660,149,2.48,12
ゆめタウン浜線,2026-02-14T12:00:00+09:00,720,120,2.0,9
ゆめタウン浜線,2026-02-14T13:00:00+09:00,780,369,6.15,15
ゆめタウン浜線,2026-02-14T14:00:00+09:00,840,369,6.15,18
ゆめタウン浜線,2026-02-14T15:00:00+09:00,900,342,5.7,14
ゆめタウン浜線,2026-02-14T16:00:00+09:00,960,185,3.08,11
ゆめタウン浜線,2026-02-14T17:00:00+09:00,1020,232,3.87,15
ゆめタウン浜線,2026-02-14T18:00:00+09:00,1080,232,3.87,15
ゆめタウン浜線,2026-02-14T19:00:00+09:00,1140,165,2.75,9
ゆめタウン浜線,2026-02-14T20:00:00+09:00,1200,1308,21.8,1
アミュプラザくまもと,2026-02-14T08:00:00+09:00,480,134,2.23,174
アミュプラザくまもと,2026-02-14T09:00:00+09:00,540,137,2.28,386
アミュプラザくまもと,2026-02-14T10:00:00+09:00,600,134,2.23,433
アミュプラザくまもと,2026-02-14T11:00:00+09:00,660,257,4.28,466
アミュプラザくまもと,2026-02-14T12:00:00+09:00,720,343,5.72,427
アミュプラザくまもと,2026-02-14T13:00:00+09:00,780,328,5.47,421
アミュプラザくまもと,2026-02-14T14:00:00+09:00,840,306,5.11,428
アミュプラザくまもと,2026-02-14T15:00:00+09:00,900,356,5.92,448
アミュプラザくまもと,2026-02-14T16:00:00+09:00,960,245,4.08,465
アミュプラザくまもと,2026-02-14T17:00:00+09:00,1020,442,7.37,452
アミュプラザくまもと,2026-02-14T18:00:00+09:00,1080,480,8.0,392
アミュプラザくまもと,2026-02-14T19:00:00+09:00,1140,309,5.15,302
アミュプラザくまもと,2026-02-14T20:00:00+09:00,1200,233,3.88,48
イオンモール熊本,2026-02-14T08:00:00+09:00,480,35,0.58,33
イオンモール熊本,2026-02-14T09:00:00+09:00,540,48,0.8,76
イオンモール熊本,2026-02-14T10:00:00+09:00,600,152,2.53,75
イオンモール熊本,2026-02-14T11:00:00+09:00,660,129,2.15,93
イオンモール熊本,2026-02-14T12:00:00+09:00,720,275,4.58,80
イオンモール熊本,2026-02-14T13:00:00+09:00,780,206,3.43,78
イオンモール熊本,2026-02-14T14:00:00+09:00,840,44,0.73,68
イオンモール熊本,2026-02-14T15:00:00+09:00,900,109,1.82,70
イオンモール熊本,2026-02-14T16:00:00+09:00,960,157,2.62,104
イオンモール熊本,2026-02-14T17:00:00+09:00,1020,302,5.03,96
イオンモール熊本,2026-02-14T18:00:00+09:00,1080,133,2.22,86
イオンモール熊本,2026-02-14T19:00:00+09:00,1140,102,1.71,58
イオンモール熊本,2026-02-14T20:00:00+09:00,1200,147,2.45,15
サクラマチ,2026-02-14T08:00:00+09:00,480,117,1.95,441
サクラマチ,2026-02-14T09:00:00+09:00,540,157,2.62,939
サクラマチ,2026-02-14T10:00:00+09:00,600,143,2.38,1011
サクラマチ,2026-02-14T11:00:00+09:00,660,242,4.03,1085
サクラマチ,2026-02-14T12:00:00+09:00,720,320,5.33,970
サクラマチ,2026-02-14T13:00:00+09:00,780,320,5.33,1008
サクラマチ,2026-02-14T14:00:00+09:00,840,274,4.58,988
サクラマチ,2026-02-14T15:00:00+09:00,900,323,5.38,1036
サクラマチ,2026-02-14T16:00:00+09:00,960,333,5.55,1075
サクラマチ,2026-02-14T17:00:00+09:00,1020,445,7.42,1088
サクラマチ,2026-02-14T18:00:00+09:00,1080,604,10.07,1019
サクラマチ,2026-02-14T19:00:00+09:00,1140,446,7.43,780
サクラマチ,2026-02-14T20:00:00+09:00,1200,279,4.65,129
鶴屋百貨店,2026-02-14T08:00:00+09:00,480,154,2.57,611
鶴屋百貨店,2026-02-14T09:00:00+09:00,540,180,3.0,1241
鶴屋百貨店,2026-02-14T10:00:00+09:00,600,210,3.5,1350
鶴屋百貨店,2026-02-14T11:00:00+09:00,660,336,5.6,1453
鶴屋百貨店,2026-02-14T12:00:00+09:00,720,370,6.17,1284
鶴屋百貨店,2026-02-14T13:00:00+09:00,780,400,6.67,1333
鶴屋百貨店,2026-02-14T14:00:00+09:00,840,340,5.67,1322
鶴屋百貨店,2026-02-14T15:00:00+09:00,900,392,6.53,1401
鶴屋百貨店,2026-02-14T16:00:00+09:00,960,403,6.72,1398
鶴屋百貨店,2026-02-14T17:00:00+09:00,1020,563,9.38,1471
鶴屋百貨店,2026-02-14T18:00:00+09:00,1080,593,9.88,1403
鶴屋百貨店,2026-02-14T19:00:00+09:00,1140,356,5.93,1072
鶴屋百貨店,2026-02-14T20:00:00+09:00,1200,294,4.9,175
